1 3751077.3556205593 2.8043370807168867E34 
121 3724786.8648354555 5.48619441941885E40 
241 3654664.4224306154 2.2812031495191486E41 
361 3555406.676340799 4.197928301524462E41 
481 3411275.147479053 6.703823833195485E41 
601 3233451.7095011533 1.1367511567825242E42 
721 3028275.2708058883 1.7617679978249562E42 
841 2767608.004704057 2.6325493730980465E42 
961 2510930.1183697786 2.6822820142928566E42 
1081 2314467.085461061 2.7657657065150395E42 
1201 2100991.372989459 3.308576422265397E42 
1321 1903429.0185336734 4.0104266224924076E42 
1441 1780922.7610430263 4.138780009646969E42 
1561 1737148.6287533473 3.8894051461397624E42 
1681 1777779.083897128 4.009940269157594E42 
1801 1879750.4303615903 3.941183984775747E42 
1921 2055495.05086046 3.527970465957258E42 
2041 2215365.5895266626 3.140124209519884E42 
2161 2383728.4447430754 2.8776870770815157E42 
2281 2589656.319893451 2.3953902273788734E42 
2401 2765140.040362358 2.0979857382244814E42 
2521 2939648.713113589 1.9464361775794722E42 
2641 3100880.3686537025 1.7553813815673052E42 
2761 3258367.8251755093 1.6267913656155905E42 
2881 3388816.3112008953 1.5712643969092897E42 
3001 3503624.0921456073 1.505227251595416E42 
3121 3605285.1094057513 1.4159470620136145E42 
3241 3686813.9742354965 1.1962323168749886E42 
3361 3762544.974483261 1.140894584589203E42 
3481 3826711.345823488 1.0656235222317546E42 
3601 3874948.0408355524 1.107583964336917E42 
3721 3915179.65269557 1.2467614981206816E42 
3841 3939311.33056339 1.5330181939303955E42 
3961 3944529.477365198 1.9719612131652564E42 
4081 3934484.4095621584 2.2760098176603882E42 
4201 3917630.717560768 2.391044400452783E42 
4321 3891941.2393589257 2.2454756062400305E42 
4441 3859192.8734252383 2.0106040887022316E42 
4561 3828407.263904774 1.8593129320873853E42 
4681 3797256.4797611306 1.7182124797657096E42 
4801 3757756.385508678 1.716753028529563E42 
4921 3724136.000991955 1.6273179421808558E42 
5041 3696589.772473831 1.637676688856705E42 
5161 3670562.776016133 1.6636497717587524E42 
5281 3648184.299399576 1.9979198852291834E42 
5401 3628710.0721086217 2.0883295758268033E42 
5521 3608767.7510569477 2.3157675049649955E42 
5641 3593328.6830353164 2.3428683926410803E42 
5761 3588778.4324482 2.3262859356700567E42 
5881 3593690.0213523866 2.220765149315274E42 
6001 3606327.7342037773 2.2698304892920126E42 
6121 3621689.8111264943 2.682523063997127E42 
6241 3637499.936424441 2.5185860429791753E42 
6361 3648504.0221822835 2.5432740392899228E42 
6481 3653332.0471647833 2.5513549112101343E42 
6601 3648991.9295569323 2.7523022534357415E42 
